employee_id,week_start,monday,tuesday,wednesday,thursday,friday,saturday,sunday,monday_start,monday_end,tuesday_start,tuesday_end,wednesday_start,wednesday_end,thursday_start,thursday_end,friday_start,friday_end,saturday_start,saturday_end,sunday_start,sunday_end
1,2024-03-04,1,1,1,1,1,1,0,13:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,,
2,2024-03-04,1,1,1,1,1,0,0,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,
3,2024-03-04,1,0,1,1,1,1,1,09:00,17:00,,,09:00,17:00,09:00,17:00,09:00,18:00,10:00,18:00,10:00,16:00
4,2024-03-04,0,1,0,1,1,1,0,,,11:00,18:00,,,11:00,18:00,12:00,20:00,12:00,20:00,,
5,2024-03-04,0,0,0,1,1,1,1,,,,,,,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00
6,2024-03-04,0,0,0,1,1,1,1,,,,,,,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00
7,2024-03-04,1,1,1,1,1,1,0,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,09:00,15:00,,
8,2024-03-04,1,1,1,0,1,1,1,10:00,18:00,10:00,18:00,10:00,18:00,,,10:00,18:00,10:00,18:00,10:00,18:00
9,2024-03-04,0,1,1,1,0,1,1,,,14:00,22:00,14:00,22:00,14:00,22:00,,,14:00,22:00,14:00,22:00
10,2024-03-04,1,1,0,1,1,1,1,08:00,16:00,08:00,16:00,,,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00
11,2024-03-04,0,1,1,1,1,1,0,,,13:00,21:00,13:00,21:00,13:00,21:00,13:00,22:00,13:00,22:00,,
12,2024-03-04,1,1,1,0,1,0,1,09:00,15:00,09:00,15:00,09:00,15:00,,,09:00,15:00,,,09:00,15:00
13,2024-03-04,1,1,1,1,0,0,1,08:00,13:00,08:00,13:00,08:00,13:00,08:00,13:00,,,,,08:00,13:00
14,2024-03-04,1,1,1,0,0,1,1,15:00,22:00,15:00,22:00,15:00,22:00,,,,,15:00,22:00,15:00,22:00
15,2024-03-04,1,1,1,1,0,1,1,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,,,11:00,19:00,11:00,19:00
16,2024-03-04,1,1,1,1,1,0,0,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,,,,
17,2024-03-04,0,1,1,1,0,0,1,,,16:00,22:00,16:00,22:00,16:00,22:00,,,,,16:00,22:00
18,2024-03-04,0,1,1,0,0,1,1,,,12:00,18:00,12:00,18:00,,,,,12:00,18:00,12:00,18:00
