date,day_of_week,hour,item_name,revenue,transaction_count
2024-01-01,Monday,8,Muffin,56.45,5
2024-01-01,Monday,8,Breakfast Sandwich,38.71,3
2024-01-01,Monday,8,Drip Coffee,29.03,2
2024-01-01,Monday,9,Breakfast Sandwich,55.07,5
2024-01-01,Monday,9,Drip Coffee,37.76,3
2024-01-01,Monday,9,Croissant,28.32,2
2024-01-01,Monday,10,Drip Coffee,53.62,4
2024-01-01,Monday,10,Croissant,36.77,3
2024-01-01,Monday,10,Latte,27.58,2
2024-01-01,Monday,11,Croissant,96.09,8
2024-01-01,Monday,11,Latte,65.89,5
2024-01-01,Monday,11,Muffin,49.42,4
2024-01-01,Monday,12,Latte,94.04,8
2024-01-01,Monday,12,Muffin,64.48,5
2024-01-01,Monday,12,Breakfast Sandwich,48.36,4
2024-01-01,Monday,13,Muffin,92.66,8
2024-01-01,Monday,13,Breakfast Sandwich,63.54,5
2024-01-01,Monday,13,Drip Coffee,47.65,4
2024-01-01,Monday,14,Breakfast Sandwich,92.1,8
2024-01-01,Monday,14,Drip Coffee,63.15,5
2024-01-01,Monday,14,Croissant,47.37,4
2024-01-01,Monday,15,Drip Coffee,73.94,6
2024-01-01,Monday,15,Croissant,50.7,4
2024-01-01,Monday,15,Latte,38.02,3
2024-01-01,Monday,16,Croissant,74.87,6
2024-01-01,Monday,16,Latte,51.34,4
2024-01-01,Monday,16,Muffin,38.5,3
2024-01-01,Monday,17,Latte,76.38,6
2024-01-01,Monday,17,Muffin,52.37,4
2024-01-01,Monday,17,Breakfast Sandwich,39.28,3
2024-01-01,Monday,18,Muffin,121.35,10
2024-01-01,Monday,18,Breakfast Sandwich,83.21,7
2024-01-01,Monday,18,Drip Coffee,62.41,5
2024-01-01,Monday,19,Breakfast Sandwich,124.62,10
2024-01-01,Monday,19,Drip Coffee,85.45,7
2024-01-01,Monday,19,Croissant,64.09,5
2024-01-01,Monday,20,Drip Coffee,127.84,11
2024-01-01,Monday,20,Croissant,87.66,7
2024-01-01,Monday,20,Latte,65.75,5
2024-01-01,Monday,21,Croissant,130.65,11
2024-01-01,Monday,21,Latte,89.59,7
2024-01-01,Monday,21,Muffin,67.19,6
2024-01-01,Monday,22,Latte,85.64,7
2024-01-01,Monday,22,Muffin,58.72,5
2024-01-01,Monday,22,Breakfast Sandwich,44.04,4
2024-01-02,Tuesday,8,Breakfast Sandwich,46.68,4
2024-01-02,Tuesday,8,Drip Coffee,32.01,3
2024-01-02,Tuesday,8,Croissant,24.01,2
2024-01-02,Tuesday,9,Drip Coffee,45.45,4
2024-01-02,Tuesday,9,Croissant,31.17,3
2024-01-02,Tuesday,9,Latte,23.38,2
2024-01-02,Tuesday,10,Croissant,44.31,4
2024-01-02,Tuesday,10,Latte,30.38,3
2024-01-02,Tuesday,10,Muffin,22.79,2
2024-01-02,Tuesday,11,Latte,79.71,7
2024-01-02,Tuesday,11,Muffin,54.66,5
2024-01-02,Tuesday,11,Breakfast Sandwich,41,3
2024-01-02,Tuesday,12,Muffin,78.54,7
2024-01-02,Tuesday,12,Breakfast Sandwich,53.86,4
2024-01-02,Tuesday,12,Drip Coffee,40.39,3
2024-01-02,Tuesday,13,Breakfast Sandwich,78.07,7
2024-01-02,Tuesday,13,Drip Coffee,53.53,4
2024-01-02,Tuesday,13,Croissant,40.15,3
2024-01-02,Tuesday,14,Drip Coffee,78.34,7
2024-01-02,Tuesday,14,Croissant,53.72,4
2024-01-02,Tuesday,14,Latte,40.29,3
2024-01-02,Tuesday,15,Croissant,63.46,5
2024-01-02,Tuesday,15,Latte,43.52,4
2024-01-02,Tuesday,15,Muffin,32.64,3
2024-01-02,Tuesday,16,Latte,64.74,5
